Date,Open,High,Low,Close
07/30/2021,"1,25,058.01","1,26,712.08","1,21,748.18","1,21,800.79"
07/23/2021,"1,25,958.07","1,26,427.65","1,23,317.27","1,25,052.78"
07/16/2021,"1,25,428.30","1,29,619.81","1,25,428.30","1,25,960.26"
07-08-2021,"1,27,621.65","1,27,632.71","1,24,310.06","1,25,427.77"
07-02-2021,"1,27,255.27","1,28,066.87","1,24,993.64","1,27,621.65"
06/25/2021,"1,28,405.35","1,29,900.84","1,26,696.64","1,27,255.61"
06/18/2021,"1,29,441.02","1,31,083.66","1,27,576.44","1,28,405.35"
06-11-2021,"1,30,125.36","1,31,190.30","1,28,677.81","1,29,441.03"
06-04-2021,"1,25,561.23","1,30,137.29","1,25,539.68","1,30,125.78"
05/28/2021,"1,22,592.14","1,25,697.58","1,22,525.51","1,25,561.37"
05/21/2021,"1,21,880.28","1,23,543.68","1,21,595.27","1,22,592.47"
05/14/2021,"1,22,038.11","1,22,964.01","1,19,458.43","1,21,880.82"
05-07-2021,"1,18,951.28","1,22,038.11","1,17,630.62","1,22,038.11"
04/30/2021,"1,20,533.72","1,21,497.86","1,18,893.84","1,18,893.84"
04/23/2021,"1,21,116.05","1,21,974.21","1,19,203.20","1,20,530.06"
04/16/2021,"1,17,660.77","1,21,408.72","1,17,660.77","1,21,113.93"
04-09-2021,"1,15,262.30","1,18,849.75","1,15,262.30","1,17,669.90"
04-01-2021,"1,14,776.48","1,17,248.51","1,14,095.70","1,15,253.31"
03/26/2021,"1,16,222.06","1,16,224.73","1,10,926.74","1,14,780.62"
03/19/2021,"1,14,092.94","1,16,750.66","1,13,370.08","1,16,221.58"
03-12-2021,"1,15,202.23","1,15,202.23","1,09,343.23","1,14,160.40"
03-05-2021,"1,10,035.82","1,15,503.58","1,07,319.15","1,15,202.23"
02/26/2021,"1,18,388.07","1,18,388.07","1,09,827.09","1,10,035.17"
02/19/2021,"1,19,421.13","1,20,845.47","1,17,867.30","1,18,430.53"
02-12-2021,"1,20,239.34","1,20,844.42","1,17,969.94","1,19,428.72"
02-05-2021,"1,15,093.16","1,21,116.60","1,15,093.16","1,20,240.26"
01/29/2021,"1,17,380.89","1,19,355.23","1,14,886.51","1,15,067.55"
01/22/2021,"1,20,351.43","1,22,585.82","1,16,108.90","1,17,380.49"
01/15/2021,"1,25,075.18","1,25,075.18","1,20,185.13","1,20,348.80"
01-08-2021,"1,19,024.29","1,25,323.53","1,16,756.08","1,25,076.63"
12/30/2020,"1,17,805.56","1,20,149.85","1,17,804.95","1,19,017.24"
12/23/2020,"1,18,020.94","1,18,311.44","1,14,730.05","1,17,806.85"
12/18/2020,"1,15,136.91","1,19,370.48","1,14,431.00","1,18,023.67"
12-11-2020,"1,13,750.50","1,15,526.57","1,12,566.73","1,15,128.00"
12-04-2020,"1,10,598.01","1,13,863.73","1,08,829.15","1,13,750.22"
11/27/2020,"1,06,050.48","1,11,603.41","1,06,050.48","1,10,575.47"
11/20/2020,"1,04,728.51","1,07,810.31","1,04,728.51","1,06,042.48"
11/13/2020,"1,00,953.95","1,05,758.29","1,00,953.95","1,04,723.00"
11-06-2020,"93,967.64","1,01,104.29","93,967.64","1,00,925.11"
10/30/2020,"1,01,259.86","1,01,783.79","93,386.55","93,952.40"
10/23/2020,"98,310.35","1,02,217.62","98,309.80","1,01,259.75"
10/16/2020,"97,483.49","99,570.80","97,336.30","98,309.12"
10-09-2020,"94,019.37","98,641.91","93,984.23","97,483.31"
10-02-2020,"97,005.38","98,313.73","93,408.17","94,015.68"
09/25/2020,"98,282.75","98,282.75","95,631.74","96,999.38"
09/18/2020,"98,366.62","1,00,949.43","98,044.81","98,289.71"
09-11-2020,"1,01,239.34","1,01,578.01","97,757.90","98,363.22"
09-04-2020,"1,02,141.53","1,03,225.58","98,960.50","1,01,241.73"
08/28/2020,"1,01,525.44","1,02,708.36","99,359.36","1,02,142.93"
08/21/2020,"1,01,348.15","1,02,333.79","98,513.34","1,01,521.29"
08/14/2020,"1,02,776.02","1,04,408.92","1,00,187.06","1,01,353.45"
08-07-2020,"1,02,912.87","1,04,523.28","1,00,004.50","1,02,775.55"
07/31/2020,"1,02,380.85","1,05,703.62","1,02,380.55","1,02,912.24"
07/24/2020,"1,02,887.60","1,05,449.23","1,00,858.76","1,02,381.58"
07/17/2020,"1,00,027.40","1,03,016.60","98,288.81","1,02,888.25"
07-10-2020,"96,775.74","1,00,191.24","96,767.64","1,00,031.83"
07-03-2020,"93,836.94","97,864.16","93,825.27","96,764.85"
06/26/2020,"96,572.24","97,485.59","93,259.07","93,834.49"
06/19/2020,"92,780.35","97,540.33","90,147.92","96,572.10"
06-12-2020,"94,640.43","97,693.47","90,810.98","92,795.27"
06-05-2020,"87,395.15","97,355.75","86,836.57","94,637.06"
05/29/2020,"82,197.76","88,090.67","82,193.33","87,402.59"
05/22/2020,"77,575.71","83,308.96","77,571.39","82,173.21"
05/15/2020,"80,263.42","80,722.75","75,696.95","77,556.62"
05-08-2020,"80,501.17","81,065.90","77,640.22","80,263.35"
04/30/2020,"75,334.28","83,598.01","75,326.58","80,505.89"
04/24/2020,"78,988.64","81,933.50","72,040.82","75,330.61"
04/17/2020,"77,681.94","81,667.81","76,405.36","78,990.29"
04-09-2020,"69,555.61","80,427.60","69,555.61","77,681.94"
04-03-2020,"73,430.65","75,511.03","67,802.47","69,537.56"
