Date,Open,High,Low,Close,,
03-06-2023,"1,03,864.62","1,05,170.97","1,03,170.44","1,04,700.32",,
03-03-2023,"1,03,325.61","1,04,440.12","1,03,322.71","1,03,865.99",,
03-02-2023,"1,04,374.89","1,04,912.41","1,03,320.59","1,03,325.61",,
03-01-2023,"1,04,933.17","1,05,497.01","1,03,104.81","1,04,384.67",,
02-28-2023,"1,05,705.79","1,06,793.71","1,04,931.93","1,04,931.93",,
02-27-2023,"1,05,807.20","1,06,402.11","1,05,226.60","1,05,711.05",,
02-24-2023,"1,07,581.79","1,07,610.59","1,05,359.92","1,05,798.43",,
02-23-2023,"1,07,152.05","1,08,663.34","1,06,731.17","1,07,592.87",,
02-22-2023,"1,09,173.51","1,09,173.51","1,06,720.17","1,07,152.05",,
02-17-2023,"1,09,941.46","1,09,941.46","1,08,968.48","1,09,176.92",,
02-16-2023,"1,09,599.20","1,10,436.98","1,08,377.51","1,09,941.46",,
02-15-2023,"1,07,848.81","1,10,209.69","1,07,266.63","1,09,600.14",,
02-14-2023,"1,08,838.52","1,09,564.11","1,07,557.07","1,07,848.81",,
02-13-2023,"1,08,074.15","1,09,192.91","1,07,419.59","1,08,836.47",,
02-10-2023,"1,08,001.55","1,08,646.51","1,07,619.93","1,08,078.27",,
02-09-2023,"1,09,951.97","1,10,045.92","1,07,766.59","1,08,008.05",,
02-08-2023,"1,07,832.11","1,10,175.02","1,07,830.39","1,09,951.49",,
02-07-2023,"1,08,726.78","1,09,037.00","1,07,233.94","1,07,829.73",,
02-06-2023,"1,08,517.62","1,08,743.77","1,07,415.53","1,08,721.58",,
02-03-2023,"1,10,140.64","1,10,570.22","1,08,184.98","1,08,523.47",,
02-02-2023,"1,12,071.61","1,12,943.15","1,09,746.74","1,10,140.64",,
02-01-2023,"1,13,429.60","1,13,597.64","1,10,729.47","1,12,073.55",,
01-31-2023,"1,12,273.01","1,13,691.16","1,12,144.78","1,13,430.54",,
01-30-2023,"1,12,318.91","1,12,920.30","1,11,823.63","1,12,273.01",,
