Date,Open,High,Low,Close,Volume
06/23/2023,"95.56","96.38","95.16","96.13","490,995"
06/22/2023,"97.05","97.05","95.79","96.09","297,249"
06/21/2023,"96.40","97.34","95.51","97.16","383,290"
06/20/2023,"97.14","97.70","96.09","96.14","435,041"
06/16/2023,"97.83","98.37","97.16","97.66","1,338,980"
06/15/2023,"96.38","97.52","95.54","97.51","403,646"
06/14/2023,"96.11","97.17","96.11","96.50","484,125"
06/13/2023,"95.56","97.43","95.51","96.35","489,139"
06/12/2023,"95.32","95.77","94.60","95.45","266,862"
06/09/2023,"95.75","95.93","94.72","95.30","195,262"
06/08/2023,"95.11","96.01","94.34","95.73","256,206"
06/07/2023,"93.24","95.32","92.73","95.11","376,290"
06/06/2023,"91.90","93.26","89.99","92.82","498,126"
06/05/2023,"93.20","93.27","91.13","92.93","372,680"
06/02/2023,"91.85","94.12","91.52","93.54","275,954"
06/01/2023,"90.23","91.00","89.24","90.97","384,300"
05/31/2023,"91.80","91.80","89.78","89.92","497,173"
05/30/2023,"92.71","92.73","91.66","92.13","225,670"
05/26/2023,"91.38","92.75","91.17","92.41","306,868"
05/25/2023,"90.41","91.44","90.10","91.19","208,197"
05/24/2023,"92.35","92.35","90.43","90.63","286,182"
05/23/2023,"93.51","93.71","92.38","92.40","354,897"
05/22/2023,"93.09","94.07","92.47","93.97","474,307"
05/19/2023,"93.48","93.62","92.29","93.12","377,229"
05/18/2023,"91.76","93.22","91.51","92.79","367,141"
05/17/2023,"91.27","92.00","90.97","91.82","327,819"
05/16/2023,"90.16","91.45","89.83","90.99","382,410"
05/15/2023,"90.86","91.17","90.27","90.68","221,463"
05/12/2023,"91.17","91.42","90.07","90.92","178,649"
05/11/2023,"89.47","90.80","89.47","90.78","215,634"
05/10/2023,"90.75","91.25","88.98","90.15","205,749"
05/09/2023,"90.36","90.52","89.75","89.94","302,059"
05/08/2023,"90.68","91.05","90.18","90.85","208,814"
05/05/2023,"90.43","91.33","90.38","90.72","253,642"
05/04/2023,"90.18","90.25","88.77","89.59","245,823"
05/03/2023,"91.46","91.93","90.55","90.80","324,605"
